,date,factors
0,2016-02-02 23:45:00+00:00,0.0
1,2016-02-03 00:00:00+00:00,0.7
2,2016-02-03 01:05:00+00:00,0.8
3,2016-02-03 02:00:00+00:00,0.7474
4,2016-02-03 03:00:00+00:00,0.6
5,2016-02-03 04:00:00+00:00,0.5
6,2016-02-03 05:00:00+00:00,0.4
7,2016-02-03 06:00:00+00:00,0.45
8,2016-02-03 07:00:00+00:00,0.2544
9,2016-02-03 08:00:00+00:00,0.3
10,2016-02-03 09:00:00+00:00,0.4912
11,2016-02-03 10:00:00+00:00,0.35
12,2016-02-03 11:00:00+00:00,0.27
13,2016-02-03 12:00:00+00:00,0.17
14,2016-02-03 13:00:00+00:00,0.09
15,2016-02-03 14:00:00+00:00,0.23
16,2016-02-03 15:00:00+00:00,0.7416
17,2016-02-03 16:00:00+00:00,0.3717
18,2016-02-03 17:00:00+00:00,0.7
19,2016-02-03 18:00:00+00:00,0.85
20,2016-02-03 19:00:00+00:00,0.75
21,2016-02-03 20:00:00+00:00,0.6
22,2016-02-03 21:00:00+00:00,0.5
23,2016-02-03 22:00:00+00:00,0.7
24,2016-02-03 23:00:00+00:00,0.7649
